
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
Tung-Oh Go Away!	eliminated	Closing Opposition	Ngô Minh Kiên JackⒸ , Gabrielle Pacaño , Jaed Bengzon , Matcha Cual , Prashasti Saxena


team	result	side	adjudicators
strawberry	advancing	Opening Government	Matcha CualⒸ , Aliyah Herlihy , Bea Legaspi , Christopher Chua , Daniella Barbacena , Jordyn Gibson , Ngô Minh Kiên Jack
CW JB	eliminated	Opening Opposition	Matcha CualⒸ , Aliyah Herlihy , Bea Legaspi , Christopher Chua , Daniella Barbacena , Jordyn Gibson , Ngô Minh Kiên Jack
RSG Silver	eliminated	Closing Government	Matcha CualⒸ , Aliyah Herlihy , Bea Legaspi , Christopher Chua , Daniella Barbacena , Jordyn Gibson , Ngô Minh Kiên Jack
CW CK	eliminated	Closing Opposition	Matcha CualⒸ , Aliyah Herlihy , Bea Legaspi , Christopher Chua , Daniella Barbacena , Jordyn Gibson , Ngô Minh Kiên Jack


team	result	side	adjudicators
Big babies	advancing	Opening Opposition	Ken SingsonⒸ , Bea Legaspi , Cj Salayo , Francis Vendiola , Kenji Tate
Hallabong 2	advancing	Closing Opposition	Ken SingsonⒸ , Bea Legaspi , Cj Salayo , Francis Vendiola , Kenji Tate
RSG Diamond	eliminated	Opening Government	Ken SingsonⒸ , Bea Legaspi , Cj Salayo , Francis Vendiola , Kenji Tate
VADP Double2Tam	eliminated	Closing Government	Ken SingsonⒸ , Bea Legaspi , Cj Salayo , Francis Vendiola , Kenji Tate
Nova A Leg Splitting Frog	eliminated	Closing Opposition	Aliyah HerlihyⒸ , George Chen , Jing Yu Ma , Jonathan Tuliao , Judy JI
VADP HDPA	eliminated	Opening Opposition	Aliyah HerlihyⒸ , George Chen , Jing Yu Ma , Jonathan Tuliao , Judy JI
RSG Emerald	advancing	Closing Government	Aliyah HerlihyⒸ , George Chen , Jing Yu Ma , Jonathan Tuliao , Judy JI
One moment	advancing	Opening Government	Aliyah HerlihyⒸ , George Chen , Jing Yu Ma , Jonathan Tuliao , Judy JI


team	result	side	adjudicators
Big babies	eliminated	Opening Opposition	Gabrielle PacañoⒸ , Jaed Bengzon , Ken Singson , Klaudia Maciejewska , Liam Oldrey , Mezen Lababidi , Sharun Nikesh
One moment	eliminated	Closing Government	Gabrielle PacañoⒸ , Jaed Bengzon , Ken Singson , Klaudia Maciejewska , Liam Oldrey , Mezen Lababidi , Sharun Nikesh
Hallabong 2	eliminated	Closing Opposition	Gabrielle PacañoⒸ , Jaed Bengzon , Ken Singson , Klaudia Maciejewska , Liam Oldrey , Mezen Lababidi , Sharun Nikesh
RSG Emerald	advancing	Opening Government	Gabrielle PacañoⒸ , Jaed Bengzon , Ken Singson , Klaudia Maciejewska , Liam Oldrey , Mezen Lababidi , Sharun Nikesh

